                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.00506,                0.40836,                0.86336,                0.98669,                0.99054,                0.98928,                 0.7521,                0.00625,                0.38385,                0.89171,                 0.0088,                 0.0088,                 0.0088
                     47,                0.00504,                0.41035,                0.86123,                0.98606,                0.98938,                0.98938,                0.73692,                 0.0066,                0.38428,                0.91131,              0.0087733,              0.0087733,              0.0087733
                     48,                0.00498,                0.39968,                 0.8583,                0.98667,                0.99116,                0.98809,                0.74781,                 0.0063,                0.37104,                0.90089,              0.0087467,              0.0087467,              0.0087467
                     49,                0.00498,                0.40655,                0.85775,                0.98458,                0.99182,                0.99034,                0.74965,                0.00631,                 0.3708,                0.89131,                0.00872,                0.00872,                0.00872
                     50,                0.00498,                0.40206,                0.85464,                0.98556,                0.99028,                0.98815,                0.75428,                0.00622,                0.37755,                0.88349,              0.0086933,              0.0086933,              0.0086933
                     51,                0.00499,                0.41399,                0.86453,                0.98661,                0.99111,                0.99084,                0.76436,                  0.006,                0.36373,                0.87229,              0.0086667,              0.0086667,              0.0086667
                     52,                0.00502,                0.40791,                0.86109,                0.98449,                0.98951,                0.98774,                 0.7399,                0.00643,                0.39103,                0.90005,                0.00864,                0.00864,                0.00864
                     53,                0.00495,                0.39994,                0.85729,                0.98531,                0.99074,                0.98896,                0.75776,                 0.0062,                0.36589,                0.88515,              0.0086133,              0.0086133,              0.0086133
                     54,                0.00496,                0.39696,                0.85747,                 0.9827,                0.98998,                0.98679,                0.73074,                0.00675,                0.39406,                0.91665,              0.0085867,              0.0085867,              0.0085867
                     55,                0.00496,                 0.4105,                0.86285,                0.98732,                 0.9877,                0.99005,                0.75647,                0.00612,                0.35994,                0.88985,                0.00856,                0.00856,                0.00856
                     56,                0.00497,                0.39485,                0.86076,                0.98687,                 0.9896,                0.98848,                0.73447,                0.00667,                 0.3816,                0.91498,              0.0085333,              0.0085333,              0.0085333
                     57,                0.00501,                0.40079,                0.85754,                0.98915,                0.98748,                0.98929,                0.76188,                0.00612,                0.36368,                0.88428,              0.0085067,              0.0085067,              0.0085067
                     58,                0.00494,                0.39219,                0.85793,                0.98802,                0.98948,                0.98886,                0.76374,                0.00591,                 0.3552,                0.87328,                0.00848,                0.00848,                0.00848
                     59,                0.00496,                0.39338,                0.85845,                0.98594,                0.98838,                0.98803,                0.74564,                0.00644,                0.37328,                0.90632,              0.0084533,              0.0084533,              0.0084533
                     60,                0.00501,                0.39302,                0.86081,                0.98744,                 0.9893,                 0.9897,                0.75163,                0.00624,                0.36379,                0.89912,              0.0084267,              0.0084267,              0.0084267
                     61,                0.00496,                0.39658,                0.85987,                0.98552,                0.99044,                0.98983,                0.76092,                0.00605,                0.36452,                0.87842,                 0.0084,                 0.0084,                 0.0084
                     62,                0.00489,                0.38586,                0.85561,                0.98544,                0.98964,                0.99013,                0.76875,                0.00596,                0.35799,                0.88717,              0.0083733,              0.0083733,              0.0083733
                     63,                0.00492,                0.39083,                0.85515,                0.98684,                 0.9901,                0.98872,                0.75322,                0.00627,                0.37062,                0.89201,              0.0083467,              0.0083467,              0.0083467
                     64,                0.00494,                0.39104,                0.85668,                0.98526,                0.98861,                0.98797,                0.75467,                0.00614,                0.36229,                0.88395,                0.00832,                0.00832,                0.00832
                     65,                 0.0049,                0.39261,                0.85703,                0.98519,                0.98734,                0.98881,                0.72397,                0.00681,                0.39026,                0.91608,              0.0082933,              0.0082933,              0.0082933
                     66,                0.00494,                 0.3906,                0.85629,                0.98646,                0.99012,                0.98928,                0.74544,                0.00634,                0.36805,                0.89787,              0.0082667,              0.0082667,              0.0082667
                     67,                0.00493,                0.39004,                0.86308,                0.98331,                0.99047,                0.98844,                0.73014,                0.00674,                0.37579,                0.90934,                0.00824,                0.00824,                0.00824
                     68,                0.00496,                0.38634,                0.85861,                0.98513,                 0.9906,                0.98817,                0.75384,                0.00623,                0.36319,                0.89534,              0.0082133,              0.0082133,              0.0082133
                     69,                0.00493,                0.38814,                0.85709,                0.98424,                 0.9921,                0.98933,                0.75647,                0.00622,                0.35759,                0.89478,              0.0081867,              0.0081867,              0.0081867
                     70,                 0.0049,                0.38447,                0.85668,                0.98706,                0.98973,                 0.9882,                0.74886,                0.00635,                0.37171,                0.88861,                0.00816,                0.00816,                0.00816
                     71,                0.00489,                0.38122,                0.85631,                0.98554,                0.98934,                0.98865,                0.76661,                0.00605,                0.35932,                0.88396,              0.0081333,              0.0081333,              0.0081333
                     72,                0.00492,                0.39162,                0.85982,                0.98474,                0.99102,                0.98741,                0.74487,                0.00636,                0.37162,                0.89414,              0.0081067,              0.0081067,              0.0081067
                     73,                 0.0049,                0.38569,                0.86093,                0.98604,                0.98969,                 0.9886,                0.74565,                0.00634,                0.37158,                0.89676,                0.00808,                0.00808,                0.00808
                     74,                0.00491,                0.38433,                0.85674,                0.98472,                  0.989,                 0.9896,                0.75324,                0.00626,                0.37213,                0.89445,              0.0080533,              0.0080533,              0.0080533
                     75,                0.00488,                0.38236,                 0.8564,                0.98147,                0.99155,                0.98692,                0.74619,                0.00638,                0.37406,                0.89639,              0.0080267,              0.0080267,              0.0080267
                     76,                0.00485,                0.37783,                0.85495,                0.98445,                0.99132,                 0.9892,                0.74912,                 0.0062,                0.36501,                0.89034,                  0.008,                  0.008,                  0.008
                     77,                0.00492,                0.38435,                0.85485,                0.98421,                0.99204,                0.98888,                0.76071,                  0.006,                0.35613,                0.87958,              0.0079733,              0.0079733,              0.0079733
                     78,                0.00487,                0.38441,                0.85519,                0.98427,                 0.9896,                0.98857,                0.75387,                 0.0062,                 0.3659,                0.89145,              0.0079467,              0.0079467,              0.0079467
